companies,commentsCount,hitsCount,likes
ингосстрах,11.328125,3131.09375,16.09375
интернетурок,1.6666666666666667,2171.0,7.0
клиентская база,13.0,2363.1666666666665,4.0
комитет,18.529968454258675,4770.085173501578,19.892744479495267
комсомольская правда,216.5,52373.0,28.25
контур,27.7045203969129,7768.435501653804,101.05181918412349
корус консалтинг,12.363636363636363,2981.090909090909,13.272727272727273
кофтёныши,33.59090909090909,9768.886363636364,233.5
крок,6.792517006802721,2313.8843537414964,18.92517006802721
лаборатория касперского,18.879166666666666,5516.7625,17.4125
лайфхакер,18.03448275862069,5692.431034482759,16.655172413793103
логомашина,44.086021505376344,5449.430107526881,82.29032258064517
магора,1.0,718.0,10.0
макс,10.530377668308702,3304.0262725779967,18.448275862068964
максимателеком,19.62686567164179,4436.0298507462685,18.850746268656717
манго,23.478991596638654,5151.865546218487,44.739495798319325
манифест,11.566666666666666,4346.05,15.75
мастера,15.914163090128755,4399.347639484979,45.60515021459227
мегаплан,12.416666666666666,5209.794444444445,65.0111111111111
мегафон,22.972055888223554,6677.358283433134,21.317365269461078
медиалогия,4.288770053475936,2121.144385026738,20.267379679144383
метр квадратный,19.0,11204.0,8.0
модульбанк,25.5,5042.908536585366,18.384146341463413
мойсклад,16.933333333333334,5574.966666666666,28.666666666666668
московская биржа,5.583333333333333,2350.5,2.75
московский акселератор,5.666666666666667,2122.0,3.3333333333333335
мтс,20.718296224588578,5328.36495643756,26.387705711519846
мэйл,13.789473684210526,2737.8245614035086,55.771929824561404
некидаем,0.0,299.0,1.0
нетрика,9.166666666666666,2985.1666666666665,10.166666666666666
одноклассники,10.111635220125786,3998.186320754717,15.971698113207546
открытие инвестиции,3.0,187.0,1.0
открытие факторинг,4.125,1624.75,7.875
пик,20.72532188841202,4892.738197424893,27.259656652360515
портал поставщиков,0.0,10.0,0.3333333333333333
поселок,11.333333333333334,4802.444444444444,7.555555555555555
почта банк,13.709090909090909,3160.7454545454543,10.436363636363636
почта россии,26.522658610271904,6654.12084592145,27.76737160120846
почтовые технологии,71.0,3993.0,3.0
программный продукт,0.0,513.0,0.6666666666666666
проконтекст,4.666666666666667,2898.0,14.333333333333334
псб,19.62686567164179,11400.567164179105,37.6865671641791
пэк,16.815533980582526,3155.1747572815534,36.87378640776699
райффайзенбанк,18.95219123505976,4590.681274900398,20.52589641434263
рбк,37.65150832958127,6603.377307519136,25.318325078793336
рвк,9.7875,5296.68125,13.53125
ремарк,4.0,2834.7,9.2
ренессанс страхование,2.875,2641.75,2.375
репутация москва,7.4,729.4,21.8
ривьера,13.333333333333334,3902.5087719298244,37.35087719298246
рокет хьюманс,20.0,2426.8,34.8
россельхозбанк,11.411764705882353,2384.1529411764704,10.8
ростелеком,20.576819407008085,6133.153638814016,36.94609164420485
ртлабс,0.0,1732.0,1.0
русская медиагруппа,1.625,498.5,3.875
самокат,22.557620817843866,6410.635687732342,18.360594795539033
сбер,21.560055865921786,3641.0805400372437,109.21648044692738
сбер еаптека,8.5,2391.5,30.166666666666668
