doc_id,companies
0000013642,яндекс
0000013656,яндекс
0000013685,одноклассники
0000013687,яндекс
0000013732,одноклассники
0000013734,яндекс
0000013736,lamoda
0000013761,рбк
0000013777,microsoft
0000013784,яндекс
0000013815,spotify
0000013817,mail
0000013839,яндекс
0000013844,gett
0000013851,мтс
0000013852,яндекс
0000013858,тинькофф
0000013868,рвк
0000013873,рбк
0000013876,яндекс
0000013890,одноклассники
0000013894,яндекс;mail
0000013918,тнт
0000013924,pixonic;gett
0000013954,тинькофф
0000013957,mail;одноклассники
0000013980,microsoft
0000013986,тнт;мтс
0000013989,тинькофф
0000014004,вконтакте
0000014022,тинькофф;рбк
0000014029,яндекс
0000014031,рбк
0000014040,spotify
0000014048,mail
0000014051,одноклассники
0000014061,рбк
0000014066,яндекс
0000014087,mail
0000014097,макс;pichesky
0000014122,spotify
0000014125,рвк
0000014135,циан
0000014146,лайфхакер
0000014150,тнт
0000014171,mail;mail.ru
0000014194,рбк
0000014211,gett
0000014214,тинькофф
0000014222,ozon
0000014228,тинькофф
0000014236,одноклассники
0000014266,yota
0000014273,gett
0000014315,chatfuel
0000014316,welltory
0000014345,мтс
0000014348,spotify
0000014366,gett
0000014383,coub
0000014393,тинькофф
0000014395,spotify
0000014449,вконтакте
0000014455,calltouch
0000014473,chatfuel
0000014491,рбк
0000014500,яндекс
0000014513,мтс
0000014527,microsoft
0000014546,spotify
0000014568,gett
0000014571,мтс
0000014589,yota
0000014591,яндекс
0000014601,мтс
0000014616,одноклассники
0000014618,одноклассники
0000014627,мтс
0000014628,coub
0000014694,gett
0000014727,mail;mail.ru
0000014733,яндекс
0000014747,яндекс
0000014766,тинькофф
0000014795,мтс
0000014819,мтс
0000014825,gett
0000014856,coub
0000014861,тинькофф;markswebb
0000014892,рбк
0000014915,тинькофф
0000014918,рбк
0000014928,точка;microsoft
0000014931,вконтакте
0000014932,рбк
0000014935,рбк
0000014936,мтс
0000014937,мтс
0000014950,мастера
0000014955,mail
0000014956,тинькофф
0000014986,одноклассники
0000015000,мтс
0000015009,gett
0000015011,skyeng
0000015040,тнт
0000015043,рбк
0000015049,gett
0000015076,spotify
0000015077,одноклассники
0000015084,yota
0000015098,coub
0000015101,рбк
0000015112,yota
0000015118,яндекс
0000015129,тнт
0000015157,одноклассники
0000015160,2гис
0000015176,яндекс
0000015227,geekbrains
0000015234,мтс
0000015294,spotify
0000015296,одноклассники
0000015372,surf
0000015410,вконтакте
0000015415,одноклассники
0000015423,рбк
0000015467,didi
0000015472,одноклассники
0000015479,рбк
0000015489,яндекс
0000015494,яндекс
0000015499,одноклассники
0000015522,gett
0000015526,gett
0000015543,мтс
0000015567,мтс
0000015572,яндекс
0000015581,vk
0000015582,одноклассники
0000015641,coub
0000015649,яндекс
0000015675,microsoft
0000015684,tj
0000015713,одноклассники
0000015714,ozon
0000015722,мтс
0000015728,пик
0000015736,gett
0000015788,gett
0000015801,chatfuel
0000015861,lamoda;яндекс;tj;мегафон;мтс
0000015868,делимобиль
0000015870,alconost
0000015876,делимобиль
0000015880,gett
0000015887,делимобиль
0000015889,делимобиль
0000015898,яндекс
0000015908,тнт
0000015914,тнт
0000015922,microsoft
0000015936,яндекс
0000015940,gett
0000015967,комитет
0000015971,рбк
0000015973,рбк
0000015988,spotify
0000015990,мтс
0000015994,битрикс24;мегаплан
0000016002,яндекс
0000016019,яндекс
0000016022,тинькофф
0000016024,gett
0000016112,одноклассники
0000016125,тинькофф
0000016138,мтс
0000016154,тинькофф
0000016163,тинькофф
0000016164,яндекс;mail
0000016218,мтс
0000016240,microsoft
0000016258,didi
0000016266,одноклассники
0000016304,мтс
0000016337,яндекс;tj;mail.ru;mail
0000016343,gett
0000016352,spotify
0000016357,skyeng
0000016382,мтс
0000016430,мтс
0000016444,рвк
0000016453,яндекс;mail
0000016461,мегафон
0000016478,microsoft
0000016482,тинькофф
0000016487,тинькофф
0000016490,тинькофф
0000016508,яндекс;авито;microsoft
0000016530,calltouch
0000016541,рбк
0000016557,одноклассники
0000016566,simple
0000016601,mail;mail.ru
0000016614,spotify
0000016639,тинькофф
0000016643,лайфхакер
0000016649,рбк
0000016687,spotify
0000016693,лайфхакер
0000016715,eset
0000016744,мтс
0000016752,рбк
0000016755,яндекс
0000016764,рбк
0000016831,яндекс
0000016843,яндекс;mail;mail.ru;microsoft
0000016855,tj
0000016895,одноклассники
0000016896,яндекс
0000016915,яндекс
0000016924,ozon
0000016954,одноклассники
0000016977,skyeng
0000016980,gett
0000016988,admitad
0000016998,мтс
0000017009,одноклассники
0000017018,selectel
0000017038,mail;mail.ru
0000017084,одноклассники
0000017085,ozon
0000017099,пик
0000017106,мтс
0000017123,яндекс
0000017125,gett
0000017137,gett
0000017153,одноклассники
0000017166,одноклассники
0000017180,комитет
0000017191,pixonic;action
0000017199,moab
0000017222,мтс
0000017261,яндекс
0000017283,didi
0000017301,spotify
0000017313,тинькофф
0000017321,gett
0000017371,calltouch
0000017398,didi
0000017405,мтс
0000017436,markswebb
0000017444,metro
0000017475,яндекс
0000017490,мтс
0000017513,gett
0000017544,рбк
0000017552,мтс
0000017555,яндекс
0000017558,яндекс
0000017583,втб
0000017587,тинькофф
0000017618,тинькофф
0000017622,intel
0000017641,телфин
0000017653,gett
0000017666,тинькофф
0000017724,циан
0000017747,яндекс
0000017769,microsoft
0000017794,microsoft
0000017846,райффайзенбанк
0000017882,мтс
0000017883,ozon
0000017902,geekbrains
0000017924,didi
0000017929,яндекс;mail;mail.ru
0000017972,одноклассники
0000017973,яндекс
0000017978,мтс
0000017996,рбк
0000018006,мтс
0000018019,икра
0000018027,surf
0000018066,яндекс
0000018109,didi
0000018121,одноклассники
0000018136,одноклассники
0000018158,яндекс
0000018183,gett
0000018189,heineken
0000018191,тинькофф
0000018222,одноклассники
0000018240,spotify
0000018254,яндекс
0000018264,didi
0000018269,яндекс
0000018311,mail;mail.ru
0000018324,рвк
0000018337,контур
0000018353,metacommerce
0000018370,одноклассники
0000018396,мтс
0000018401,яндекс
0000018406,тинькофф
0000018409,яндекс
0000018414,yota
0000018437,spotify
0000018448,мтс
0000018555,одноклассники
0000018597,gett
0000018607,рбк
0000018628,тинькофф;markswebb
0000018659,делимобиль
0000018665,мтс
0000018670,мтс
0000018675,мтс
0000018676,gett
0000018680,gett
0000018688,макс
0000018696,одноклассники
0000018699,мтс
0000018702,яндекс
0000018710,яндекс
0000018723,selectel
0000018743,яндекс
0000018789,gett
0000018797,spotify
0000018819,gett
0000018855,вконтакте;2гис
0000018859,didi
0000018871,тинькофф
0000018891,тинькофф
0000018923,мтс
0000018927,gett
0000018932,тинькофф
0000018953,уралсиб;вконтакте
0000018964,spotify
0000018970,ozon
0000018990,mail
0000019063,одноклассники
0000019066,skyeng
0000019072,одноклассники
0000019077,рвк
0000019093,мтс
0000019122,мтс
0000019171,тинькофф
0000019172,мегафон;вконтакте;ростелеком;мтс
0000019175,яндекс
0000019222,мастера
0000019234,microsoft
0000019260,яндекс
0000019314,lingualeo
0000019341,яндекс
0000019344,рбк
0000019348,тинькофф
0000019354,eset
0000019358,selectel
0000019359,honor
0000019365,mail
0000019368,тинькофф
0000019387,делимобиль
0000019400,мтс
0000019440,spotify
0000019454,gett
0000019463,делимобиль
0000019474,одноклассники
0000019492,мтс
0000019510,microsoft
0000019545,мтс
0000019586,gett
0000019587,уралсиб
0000019593,тинькофф
0000019594,heineken;microsoft;action
0000019598,мтс
0000019603,пик
0000019638,coub
0000019643,мтс
0000019652,мтс
0000019683,одноклассники
0000019691,microsoft
0000019703,одноклассники
0000019717,mail
0000019739,mail;mail.ru
0000019757,microsoft
0000019771,одноклассники
0000019786,яндекс
0000019790,lamoda;яндекс;tj;мегафон;qiwi;мтс
0000019798,яндекс
0000019801,одноклассники
0000019825,яндекс;самокат;gett
0000019826,microsoft
0000019838,одноклассники
0000019842,одноклассники
0000019875,honor
0000019892,рбк
0000019915,райффайзенбанк
0000019917,тинькофф
0000019964,gett
0000019971,notamedia
0000019972,мтс
0000019984,яндекс
0000020021,selectel
0000020041,рбк
0000020046,gett
0000020108,ozon
0000020138,gett
0000020147,яндекс
0000020174,microsoft
0000020194,ситимобил
0000020208,одноклассники
0000020237,yota
0000020240,тинькофф
0000020245,мтс
0000020252,мтс
0000020273,одноклассники
0000020294,didi
0000020333,microsoft
0000020339,spotify
0000020346,gett
0000020371,яндекс
0000020395,яндекс
0000020458,тинькофф
0000020460,gett
0000020469,gett
0000020471,geekbrains;вконтакте;csssr
0000020477,мтс
0000020495,одноклассники
0000020497,мтс
0000020511,рбк
0000020515,spotify
0000020521,одноклассники
0000020541,мтс
0000020571,spotify
0000020574,microsoft
0000020610,nimax
0000020627,рбк
0000020630,яндекс
0000020632,skyeng
0000020697,рвк
0000020704,одноклассники
0000020774,яндекс
0000020820,lamoda
0000020841,яндекс
0000020946,яндекс
0000020963,markswebb
0000020973,одноклассники
0000021007,одноклассники
0000021008,втб;рбк
0000021029,тинькофф
0000021038,gett
0000021146,делимобиль
0000021158,тинькофф
0000021170,тнт
0000021195,spotify
0000021201,intel;мегафон;microsoft
0000021209,мтс
0000021211,одноклассники
0000021233,мтс
0000021257,вконтакте
0000021260,markswebb
0000021293,luxoft
0000021345,lingualeo
0000021385,boomstarter
0000021414,geekbrains
0000021417,одноклассники
0000021420,gett
0000021435,тинькофф
0000021447,gett
0000021489,вконтакте
0000021495,мтс
0000021502,pixonic
